tweet,label
"przemądrzała elcia zapomniała kto przez ostatnie 8 lat miał zawsze rację i monopol na mądrość i jest w tym co pisze żałosna, a tej pani z telewizji przypominam o pracownikach z likwidowanych przez PO-PSL zakładów którzy też po 30 a nawet 40 latach pracy zostali wyrzuceni , mniej hipokryzji a więcej uczciwości życzę choć będzie to trudne",hateful
"Nie będzie Niemiec ( czytaj: tępy, prymitywny, butny lewak Schulz ) pluł nam w twarz...",hateful
KORDONEK TY MOŻESZ SZCZYTOWAĆ Z WŁASNĄ RĘKĄ ALBO POPROŚ   CIOCIĘ TO CI POMOŻE !,hateful
"krynia twoja nie wiedza poraża,mi nikt nie płacił oraz nie płaci ale jak widzę takie teksty jak twoje to po prost muszę ci coś odpisać bo zagubiłaś się w realiach albo sama dostajesz gaże za brednie.Smutne, że masz czelność pytać o klapki na oczach sama je mając, to nazywa się hipokryzja ,ale pewnie nawet nie wiesz co to znaczy.Właściwie żadna konstruktywna rozmowa nie ma sensu,to jak rozmowa ze ścianą",hateful
"Jedyne co tej pisowskiej wszy wychodziło najlepiej,to podłączanie sie pod policyjny konwój.",hateful
"Tylko jeden komentarz? Ja naprzyklad nie mogę znieść tych butnych usmieszkow, dudy i kaczyńskiego, cieszą się szyderczymi usmieszkami. Wilcze oczy dudy przebijają oczy Tuska.",hateful
"Co jest, po*rańcy? Raz mówicie Pis ok, Po nie ok, a raz Po ok, PiS nie. Ja mowie Pis i Po nie ok.",hateful
"Już dziś dwie trzecie społeczności mówi: PiS, marsz do budy....",hateful
"DAWAĆ TERAZ TELEWIZJE TRWAM , TEŻ TEJ REPUBLIKI POSŁUCHAMY ........TO TERAZ SUPER PROGRAMY , A JACY TAM WSPANIALI DZIENNIKARZE --- MOHERY SIADAĆ W FOTELIKACH I OBOWIĄZKOWO OGLĄDAMY I GRZECZNIE MI TAM BEZ MARUDZENIA BO JAK TYLKO COŚ WAM NIE ZAGRA , TO JAREK SANKCJE NA WAS NAŁOŻY ,WIELBCIE PRZYWÓDCE PANA WASZEGO JARKA ŚWIĘTEGO ........CIEMNOGRÓD Z WAMI.......",hateful
Biedaczku - od jak dawna na to chorujesz ?,hateful
@ do Darka - chyba musisz mieć 10lat jeżeli jeszcze nie rozumiesz ile sztuki i artyzmu jest w tzw. kopulacji.,hateful
A ty już przemyślałeś?Uruchomiłeś oba zwoje w mózgu?I co ? nie przegrzał ci się?,hateful
"szczucie, zakłamanie i msciwość otyo atrybuty ,,dobrego,, pisowca!",hateful
Ale himalaje głupoty się odezwały,hateful
to    spazmy    starokawalerskie   oraz   skutek    prekwitania  -   zanik   komorek   plciowyych   lub   laskotanie    prostaty,hateful
"kaczynski to tez pookraglostolowy  , co gorsza  jest bardzo macofilny,  sluzalczy wzgledem usa , dodatkowo stale prowokuje rosje , dla nas, Polakow , taki naplywowy  koles  z odessy przy wladzy to bardzo  zla  wiadomosc",hateful
"Rudy- Tusku,przecież każdy wie ,że jesteś pachołkiem Niemiec",hateful
O czym ta  dyskusja niech siedzą u siebie gdzie obowiązuje koran a tu wszystkich kastrować  jak nie potrafią się dostosować,hateful
ten pokemon potrafi sie smiac???,hateful
Stary pampersiak ryj rozdziawia bo capie. W nocy kot mu nie daje!,hateful
"Przeszło 51% wyborców głosowało na PiS. Wynik daje do myślenia. Większość Polaków to naiwne debile. ""frankowicze"" liczyli na to że nowy prezydent spłaci za nich kredyty, przyszli emeryci myśleli że będą leniuchować kilka lat wcześniej. A 500 zeciszów dostaną tylko rodziny bezdzietne. Duduś, a raczej Jaruś, dorwał się do koryta i cała przedwyborcza para poszła w gwizdek. Obiecanki cacanki, a frajerom na złość. Szanowny Pan Kononowicz już dawno powiedział: ""Nie będzie niczego"". KONONOWICZ NA PREZYDENTA. Bo to jedyny kandydat który mówi prawdę!",hateful
"Sp...ma mózg ci zalała chyba, niewyr....any jakiś",hateful
"Donald Tusk obawia się ujawnienia jego brudnych decyzji dla narodu i państwa polskiego, dlatego pragnie atakować demokratycznie wybrany rząd przez większość narodu polskiego a nie zdrajców i oszustów.",hateful
I taki paskudny satyr rządzi Polską? Straszne czasy nadeszły....,hateful
bladź się bawi za nasze pieniądze....,hateful
"ot sprzedawczyk, ale i tak nie uniknie kary za afery Amberd Gold itp. - najpierw należy rozliczyć tego łachudrę przed sądem w Polsce",hateful
Słyszę dziki kwik odrywanych świń od koryta.,hateful
Bajka nie z tei ziemi wielka DUDA mniejszą DUDĘ WYDUTKAŁ a PiS mówi że pederastia nie przystoii.,hateful
"Szkoda, że nie pękł.",hateful
Rudy złodziej.... i zdrajca...,hateful
"żydowski tvn pluje jadem, tak jak pluł!!!",hateful
Takich dziennikarzy chorych na pisowścieklizne przyjmą z otwartymi ramionami w TVN albo innej szczujni...,hateful
Skąd wziął się w Polsce taki głupek i to z tak tępą i małointeligentną twarzą. On napewno wszystko wie.,hateful
"POlszewików ujadania końca nie widać.Przeżyć nie mogą ubolskie łby,że czasy prosperity się skończyły a być może świat co niektórzy zaczną oglądać w TV,w pokojach 2 x 2,czego z całego serca im życzę !",hateful
ty ~~kaczus ~~nie wiesz bo od  1989 r  jesteś na zamkniętym w Tworkach,hateful
a pislamiści o 40 za dużo,hateful
"Pewnie gołe baby oglądał i coś mu się przypomniało, że w domu tylko kot.",hateful
"Z takim poziomem ""dziennikarstwa"" śmiało można uznać że to hiena. Nie dopuszczajcie jej nawet do akwarium bo zagryzie wam wszystkie rybki...",hateful
Śmieje się z głupawego uśmieszku Schetyny co to ma niby na ulicę wyprowadzić miliony,hateful
Rudy juz kombinuje.zdrajca,hateful
"chory psychicznie człowiek ,żal mi go.",hateful
pis to banda i idioci,hateful
Poczekamy zobaczymy co pislamisci ci dadza,hateful
K..wa Polacy to jednak naród DEBILI!!!ciemnogród niech sobie ogląda ten chłam ja to mam w d..ie!!!!!!!,hateful
A zeby pekl w cholere...,hateful
"Nie pracowali ani dla Polski ani dla Polaków!!! Pracowali dla PO myleńców, sprzedawczyków i kolaborantów. Oddać Polskę Polakom - Proszę",hateful
"Ten publicysta bolszewickiej ""Trybuny"" lepiej niech nie kracze, bo jak na razie PIS doskonale sobie radzi, pomimo powarkiwań piesków z PO i ich kamaryli z Nowoczesnej. Ta jego ulubienica PO nie wywiązała się z jakiejkolwiek obietnicy wyborczej, a znana jest tylko z intryg i złośliwości i miotaniu się po klęsce w wyborach.",hateful
Najlepszy jest ten Ziutek co nie wie z czego się śmieje konus ale się śmieje bo konus się śmieje.,hateful
zgnilizna w gębie,hateful
Ten PiS to dopiero banda pana Rydzyka,hateful
"Ale w was pieluszki pełne od kupy.... wp.pl gnie was ta nienawiść do PIS, aż wymioty was zalewają. Powtórki i powrotu do gangsterstwa waszych kolesi nie będzie, zamiast tego dobierzemy się wam do tyłków... już wkrótce!",hateful
Tusk to niemiecka ś....ia już dawno o tym wiedziałem.,hateful
Już te intelygentne panie z tv zaczęły się posssrywaać ze strachu..,hateful
idz do kryminalu.. ty matolei nieuku :RTYU,hateful
Mają rację nie każdy chce byś Stalinowskim sługusem czyli PiSowcem,hateful
"ooo, wybitnie intelektualny żart leminga! brawo dla POs.ańca!",hateful
"To nie śmiech, to kot zwalił mu się pod stołem i dlatego zatyka nos, bo smród niesamowity.",hateful
opluwali nasz dom pismaki i rydzele na arenie miedzynarodowej i teraz nie obracaj kota ogonem trollu,hateful
pocalujcie ichn w żope,hateful
Ale tępoty PiS-owskie piszą tu komentarze .,hateful
Widać jakiś zakazany komuszy ryj.,hateful
Zenka a co znaczy NAM pytam? Ktoś cię upoważnil?   Pisz w swoim ograniczeniu tylko za siebie. !,hateful
Pisiury wredne ujadacze hejtują za kasę ! piszcie za siebie bo my prawdziwi Polacy myślimy inaczej.,hateful
"Brawo dla Pani, trzeba miec honor i odwage nie jak te pisdy.",hateful
"no mają swoją sondażownie, heh buraki....",hateful
"Jakos nikt nie komentowal (radosnego z euforia) smiechu bylego marszalka Komorowskiego, kiedy zwoki prezydeta i osob towarzyszacych  przyweziono (na lotnisku) do Polski?  Po ""katastrofie"" Polskiego samolotu w Smolensku!!!! Nikt tez nawet nie spyta, kto wtedy (organizacja, ""partia"") mial ""w garsci"" wszystkie srodki przekazu a nawet Trybunal Konstytucyjny...????? Nadal o tym nie wolno mowic????",hateful
"Szkoda,ze nie pekl....",hateful
"Jakieś głupoty, nikt normalny nie popiera tych oszołomów i krętaczy pisu.",hateful
Nie naród baranie jeden tylko ok 17 % uprawnionych glabie jeden a na tej fotce z Ziobro to tylko zdjąć okulary dodać wąsik i hitler gotowy  czyż nie ironia losu wnuczek akowca żal mi cie polsko a raczej twych dzieci niewinnych bo dorośli wyborcy sami sobie zrobili Białoruś lub Rosję,hateful
Pisowskie śmieci,hateful
Ty ryży ch....u!!!!!! Powieś się razem ze swoimi jeb.......mi internetowymi trolami,hateful
zapomniałeś dziadu o Urbańskim,hateful
Za duzo by bylo smrodu.,hateful
"Tusk! Ty zdrajco! Straszysz Polskę i Polaków? Każdy przedstawiciel Polski poza naszymi granicami, który nie staje w Naszej obronie, bez względu kto rządzi w Polsce i z jakiej partii On sam pochodzi, jest zdrajcą i sprzedawczykiem !",hateful
i to jest dowód na jakim poziomie i etapie jest ten człowieczek. Ja ten tekst znałem jeszcze jak studiowałem a było to jakieś 30 lat temu....,hateful
"pis to oszusty, z tym dudom   ,  i co z frankiem,  obiecał jak cały psik",hateful
co za prostak!!!!!!!!!!!!!!!,hateful
Niech Cię trzymają na smyczy burku,hateful
"To on posiada inne uczucia oprócz nienawiści ,pogardy,zakłamania i obłudy ??",hateful
"""KE i PE to klasyczny cyrk polityczny, taki Monty Python dla ograniczonej intelektualnie, pozaprzeszłej widowni"" Ale nie dla lemingów i ćpuna maleńczuka",hateful
"jaro smieje sie z glupkow,ktorzy na niego glosowali.",hateful
Zdrajca!,hateful
"Chory program ,jego zasady i uczestniczący w nim nieudacznicy,których nie stać na znalezienie sobie drugiej połowy -ot,faceci bez jaj a kobitki bez móz......!",hateful
"SYN DZIENNIKARZA KTÓRY OGŁASZAŁ STAN WOJENNY W POLSCE W MUNDURZE WOJSKOWYM  NIE POWINIEN PROWADZIĆ WIADOMOŚCI W TVP INFO  
SIERAKOWSKI SYN KOMUNISTKI  Z PZPR ZAPRASZANY JEST DO STUDIA JAKO KOMENTATOR OBRAŻA PREZYDENTA TWIERDZĄC ZE DECYZJE PREZYDENTA NIE MAJA ZNACZENIA  ZE LICZY SIE GŁOS ULICY  TO JAWNE NAWOŁYWANIE DO DEMONSTRACJI  TO JEST KARANE POWINNA ZAINTERESOWAĆ SIĘ PROKURATURA  MY POLACY ZADAMY  RZETELNYCH INFORMACJI 
SIERAKOWSKI TO KOMUNISTYCZNY ŁACH NAWET DECYZJE TRYBUNAŁU ZGODNE Z KONSTYTUCJA KRYTYKUJE !!!!!!!!!!",hateful
Tylko delegalizacja pisssss i zatrzymanie tych wysylajacych pogróżki na kilkanaście lat spowoduje normalność w kraju rządzącego przez bezkarne słońce narofu,hateful
"Wiadomo kto zlecił wykonanie tych ,,badań,,. Propaganda nabiera tempa. Brawo pisiory, nakręcajcie kołowrotki....",hateful
"Wreszcie te zaklamane miernoty  znikaja z ekranu ! Dosc tego . Chcemy telewizji narodowej  przekazującej prawdziwe informacje , a nie tylko jak bylo dawniej ustawki Tuska  i manipulacje , sama propagande i obiecanki Tuska .  A dziennikarze to wszystko firmowali swoim  nazwiskiem .",hateful
Nie kwicz zdrajco!!,hateful
"Jeśli PO zwalniało przejmując władzę, to jakim cudem ta pani pracowała 30 lat w tv? Ktoś tu chyba ma problemy z matmą. W sumie wśród wyborców PiSu analfabetyzm to standard.",hateful
"Ciekawe koleś gdzie ty się zadekujesz jak ci się ta kadencja europejska skończy, bo w Polsce już czekamy na ciebie z taczką . Zdrajco Polskiego Narodu !",hateful
ogolić jaja i do żłobka lub kapotka zapinana z tyłu i do pokoju bez klamek,hateful
katoliccy księża tez gwałcili zdobywając nowe terytoria.,hateful
"Biedna kobieta. 
Tak to jest z PISIORAMI. 
Miejmy nadzieje że szybko znajdzie pracę w normalnym mediach typu TVN.
Pierniczyć HEJTERÓW",hateful
nie chce tego bydla u siebie w kraju i koniec!!!,hateful
W TVP pojawią się miernoty trzeciego sortu.,hateful
"Dostanie w ryj, jak będzie dale sprzedawczykiem",hateful
Widok OHYDNY!!,hateful
"ten się śmieje kto się śmieje ostatni, nie długo się będzie śmiał baranim głosem!",hateful
"Krytyczna dziennikarka - dobre! To durne stworzenie nawet nie zdaje sobie sprawy jaka jest denna. Już jej widok sprawiał, że działała na człowieka, jak na byka czerwona płachta. A jak otworzyła jadaczkę, to była już kompletna padaczka i człowiek chcąc, niechcąc wstydził się za nią.",hateful
DZIĘKUJ PeOwcom ZDRAJCOM CO PRZED NIEMCAMI KLĘCZĄ I PŁACZĄ A RACZEJ RYCZĄ A JEST TO RYK ŚWIŃ ODRYWANYCH OD KORYTA NIE JEST WAŻNA POLSKA TYLKO ICH KORYTA,hateful
"Peowskie Lemingi GRZEBAŁY w Trybunale ilością sędziów a teraz KMIOTKI się buntują!!! Watahę trzeba dorżnąć,gdzieś to słyszałem, chyba z PO",hateful
"Zdrajca narodu !!! Zobaczcie jak wspiera swoje świnki odwalone od koryta !!! 
Żenada wstyd że ktos to wogole napisał, zabezpieczyli zię z Angelą i Martinem",hateful
no i znowu pisowska (ruska) znajomość historii wyłazi. Dno.,hateful
Macie k...a swojego patriotę!,hateful
"panie Dębski, spadaj pan na drzewo kanarki doić. Aby posprzątać, odbudować okradzioną Polskę trzeba czasu i ten czas nastąpił. Gdyby dalej rządziła sekta PO z sektą PSL nic by nie zostało z kraju. Właściwie to i teraz poza ogromnym zadłużeniem i totalną biedą narodu i najdroższymi na świecie autostradami nic właściwie nie ma. Ale sekta pod inspiracjami PO i Nowoczesnej dalej rzuca się jak pchła na grzebieniu. To co działo się w XVII w ma powtórkę dzisiaj. Wówczas targowiczanie zawołali na pomoc Carycę Katarzynę w obronie swoich prywatnych interesów tak i dzisiaj ""nowocześni peowcy z pslowcami wołają o ratunek do UE. Nie Polska, nie racja stanu ale pieniądze i strach przed więzieniem powoduje wycie tych zdrajców Polski. Ich nazwiska przejdą do historii właśnie jako zdrajców.",hateful
Nie zgodzę sie. Ludzie chorzy psychicznie bywają na swój sposób genialni. Popatrz na  Jarka.,hateful
Niestety w czasie śmiechu mąż stanu znowu ukrył zęby albo ich brak,hateful
co za głaby głosuja na nowoczesna? ci co głosno krzyczą....,hateful
"wypierdalajcie z tym kevinem  , tyle filmow fajnych jest nowych a wy tego kevina pokazujecie zygac mi się chce jak widze ze on na swieta jest",hateful
HAHAHAHAHA NIEMIECKIE MEDIA KWICZĄ !!!!!! JA MYSLE ZE SWETRU MA NAJWIEKSZE POPARIE BHHHA BHHHA,hateful
Szkoda że nie pękł. . .,hateful
"Od dawna twierdze,ze WP to dziadowski POpaprany portal!",hateful
"Nareszcie Pan Prezes pokazał twarz człowieka niespełna władz umysłowych. Mały człowieczek, a jaki zadowolony z siebie. Porażające.",hateful
ch...jej w d...,hateful
Świat musi się zjednoczyć w walce z brudasami! Za dużo im pozwoliliśmy!!!,hateful
"Prezes tak się śmiał, że mało nie pękł ze śmiechu - napisano. Szkoda, że tego nie uczynił.",hateful
"czekam na Osicę, jest ODRZUCAJĄCA !!!!!!!!!!!!!!!!!!!!!!!!!! I NA FACETA PRZEWRACAJĄCEGO OCZAMI NA WIZJI",hateful
twój prezesik kartoflany jeszcze ci pokaże jaki jest wiarygodny - tylko poczekam i zobaczymy kto jest ćwierćwieczem,hateful
"POwiedzieli dziecku że multi kulti i pibliczne kopulacje są fajne. Co dziecko winne że ma POrypanych rodziców? Albo go pederaści wzięli na ""wychowanie"" do nowej roli.",hateful
Dębski - agent wpływu Putina opowiada brednie na lewackim portalu WP!!!! - nie ma sensu polemizować z takim stekiem bzdur!!!! - Dębski paszoł WON do Putina!!!!,hateful
Makrela pod trybunal miedzynarodowy !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,hateful
Kaczypyl i potym śmiechu w PiSdu,hateful
"Sprzedawczyk,zdrajca Polski",hateful
ja tez molestuje swoja sasiadke i jej to się podoba..,hateful
"albo wśród płatnych świń z pis u które nawet po wygranych wyborach kwiczą,  zachowują się tak jakby im ktoś władzę odbierał najwyraźniej sami wiedzą że to dzięki oszustwu i kłamstwom wygrali a kłamstwo ma krótkie nóżki, i kwiczą ze strachu że nie zdążą się nachapać",hateful
"żegnamy ruro... ruro by, by.",hateful
"Niestety, ta szwajne ma zbyt wiele praw.",hateful
kibole ze zlotu bandytów na jasnej gorze już na forach.,hateful
"Brawo Karolcia, trzymaj się pisioki szybko przeminą, tym razem na zawsze. Glińskiego załatwiłaś jak trzeba, buców trzeba naciskać zgodnie ze sztuką dziennikarską.",hateful
"chętnie go kopnę w d...
drań i sprzedawaczyk",hateful
"A co na to Pan Schultz i inne unijne owczarki szczekające na Polskę PO donosach liberalnych demokratów z PO ??? Czy Pan Petru nadal będzie bronił ( co niechętnie piszę , bo Kaczora i jego partii nie lubię !) ""UKŁADU"" ???",hateful
"Podobno wszystkie ustawy były już gotowe zanim pis przejął władze, podobno Macierewicz nie miał być ministrem obrony itd. itd.  te wszystkie obietnice były lepem dla głupich polaczków byle tylko dorwać się do władzy. Ciekawe jak będzie tłumaczyła się Szydło z niezrealizowanych obietnic powiedzmy w marcu czy kwietniu to będzie już 3 miesiące od objęcia władzy a 500 na drugie dziecko DLA KAŻDEJ RODZINY zobaczycie w swoich snach naiwniacy",hateful
"To prymitywny, pisowski elektorat, kibole i chuligani, oni przecież używają takiego języka, a ty Misiu nie bredź i nie używaj języka nienawiści, bo Polacy się różnią poglądami i mentalnością, a jak tego nie rozumiesz, to się dokształć, choć pewnie już za późno, pranie mózgu przez PIS zrobiło swoje.",hateful
wredny moherowy pokurcz,hateful
"Rudy zdrajco, nie pokazuj się w Polsce!",hateful
szkoda mi Was,hateful
"Jaja ,wszyscy skarżą się niemieckim gazetom ,tak może zrobić tylko pospolita glista ludzka a swoją drogą jak sama złożyła wymówienie to po jaki h płacze .",hateful
"Taki dowcip to dla chamów z PO, ale NIGDY dla Pana Kaczyńskiego!
Niemcy na swoich portalach jednoznacznie wspierają PO i Nowoczesna (Ponowna Okupacja Niemiecka). Niemcy finansowali partię Tuska i ułatwiali jej dojście do władzy, później konDonka-zdrajcę zrobili naczelnym błaznem Europy. Jest jasne, dlaczego Niemcy zażarcie bronią interesów swojej agentury w Polsce, ale czy my mamy się na to godzić? NIE!! W tej sytuacji Polacy powinni Szkopów przegonić, a zdrajców wyłapać, ogolić i izolować!",hateful
Z tych wszystkich wpisów hejerowskich przeciw Kaczyńskiemu czuć autorów o pochodzeniu  czerwonych pajaków z bolszewicko resortowym CV,hateful
JUNTA kacza  niedługo sama siebie zagryzie...  Kłamstwa maja krótkie  bo kacze nóżki...,hateful
"PeŁO to najgorsza partia jaka mogła nam sie przydażyć bo skupiła najwięciej ""folksdojczów"" i innej maści antypolskich działaczy ,którzy sprytnie przygotowywali nam rozbiór Polski.",hateful
lepiej się samemu zwolnić niż trzymać się kurczowo stołka i być pomiatanym - napisał ten co powietrzem żyje i kasy nie potrzebuje - pis-dolcu,hateful
Ale jest ładniejszy od twojej matki,hateful
bełkot tumana z wiedzą zdobytą w zreformowanym ogłupiającym gimnazjum,hateful
od wyznawcy psychicznych wymagasz wiedzy dostępnej uczniowi gimnazjum. Nie przeszadzasz? to za dużo dla tych tłukow,hateful
"No tak, trzeba zrobic miejsce dla wyznawcow tego belzebuba z Torunia...z historii wynika, ze fundamentalizm katolicki zbil wiecej ludzi niz jakikolwiek inny w tym islamski....i jak widac sa tacy, ktorzy wkorzystuja wiare katolicka, naiwnosc i emocje dla swoich interesow...tak mysle, ze do nieba to oni nie pojda.",hateful
mysle ze polskie stare moherstwo I ciemnota ze wschodu polski w koncu zrozumieja ten pis,hateful
"lep na ciemny lud dodajmy, który dalej nie wiedzieć czemu kupuje ten populistyczny bełkot, a polska gospodarka już pikuje! Polska staje się dla świata państewkiem zacietrzewionych, smutnych nieudaczników, ale oczywiście dzięki propagandzie tłumoki uwierzą, że to zły świat nie ma cacji",hateful
sliczna małpka głowa do gory  nalezy ci sie kocham cie...............................,hateful
Bo tacy z nich warszawiacy jak z mysie pipki rakietnica. Same słoje.,hateful
"po ryjach widać że wszyscy z pis mają nie równo pod sufitem,będąc za granicą wstydzę się że jestem Polakiem",hateful
"Przejade sie do Berlina zaliczyc pare muzlumanek, wkoncu to nie karane u nich :)",hateful
PeOwski psie czy Ty robisz dobrze Lewackiej????,hateful
Chcesz się osiedlić w Europie - przymusowa sterylizacja całej rodziny muzułmańskiej. Problem rozwiąże się sam.,hateful
ONI SAMI ZŁOZYLI DYMISJE BO  CHODZI O KASE BYŁO WYJASNIANE ---------SAMO PIS NA TO ZWRACAŁO UWAGĘ ALE TEN SZMATŁAWIEC TYLKO SZCZUJE,hateful
idiota z kod,hateful
"Panie Schulz z tego prawa nie korzystałeś przez ostatnie 8 lat , to teraz zamilcz na zawsze.",hateful
"Głupcy którzy głosowali na tą sektę sprzedali Polskę za 500 złoty, których i tak nigdy nie dostaną. To ta lepsza część polaków ale gorsza od Judasza. Judasz chociaż dostał te 30 srebrników. Przez krótki czas się nimi pocieszył ale i tak się powiesił. Teraz miłośnicy pisuaru na was kolej. Zbierajcie już na sznurki.",hateful
"nic więcej nie potrafi, jak go wy...limy z sejmu to będzie dramat...",hateful
"To z was P O śmieją się; pachołki, sprzedawczyki ,blokowi",hateful
Nie masz prawa klamac w sprawie Polski .Chodzi tylko o niemiecka kase sciagana z Polski jako haracz dla zlodziei,hateful
Ty cynglu polaczku.,hateful
Żydokomunistyczny frendzel. Pies go je...ł.,hateful
"Gnoje!!!!!powinniscie mu podziekowac za wolna Polske, za to ze mozecie podrozowac po swiecie!!!!!!!! Itp itp itp....",hateful
Dębski królu miernot i wylizywaczy zadków - amputuj się sam z życia politycznego bo nawet Pis się brzydzi takim dnem...,hateful
to trzoda chlewna!,hateful
@vsfdvfv i seba - co wam dają te kłamstwa!!,hateful
"babcia mówiła : ""śmieje się jak głupi do sera""",hateful
pan Gliński z tymi swoimi teoriami jest żenujący jedno pytanie : a jaki system będą teraz utrzymywać obecne media????? odpowiadam - tylko jeden pisowski !!!!!!! tani populizm aroganckiego prymitywnego ignoranckiego ugrupowania z mściwym niespełnionym życiowo  zakompleksionym  małym osobnikiem na czele któremu marzy się władza bezwzględnej dyktatury taki król Ubu który chce tronu i mauzoleum tak jak Lenin,hateful
POdnieciłeś się dupkotrolu!,hateful
"Ja mam tylko nadzieje, ze moje dzieci za 10 lat beda zyly juz w normalnym kraju. A to glownie dlatego, ze wiekszosc mocherow juz nad grobem stoi i w ciagu 10 lat mam nadzieje szlag ich trafi, tylko nie wiem czy bedzie co zbierac po dzisiejszej wladzy",hateful
RUDEGO PRZED TRYBUNAŁ STANU!,hateful
Spadek złotego to wina Petru i całej bandy Targowiczan!!  PiS nie zniszczył gospodarki!! oni wprowadzają zmiany  które uderzają w Banki i interesy Niemców!!!,hateful
pajac ziewa ręką zatykając usta,hateful
Przeczytajcie sobie wsioki co czytal.,hateful
Więcej ale ZŁEGO pisdmany to dno.,hateful
"Rudy ,sprzedajny VOLKSDOICZ",hateful
"Dlaczego zwolennicy Pis-u są tacy chamscy - to wina wykształcenia, czy branie przykładu z prezesa?",hateful
Śmieje się jak końska d... do bata!,hateful
kuwa ja pier polsat znowu o cię chu.. wysadzić w powietrze i spalić,hateful
"To ci dopiero sprzedawczyk, gorszy od Judasza.",hateful
"Okazja  aby  zobaczyć  prezesa ""piękne zęby"", co krok to szczerby! A swoją drogą, jak go obrady  interesują - widać!",hateful
tobie tego brakuje?,hateful
Zdrajca. Targowica.,hateful
Zobaczył nagą kompiącą się Pawłowicz,hateful
Zaszczuli ją. SZCZUJNIA PIS DZIAŁa.,hateful
Raus !,hateful
"szkoda,że mu nie rozwaliło kaczą doope",hateful
tusk    zdrajca    i   oszustem  won   do  kryminalu    na   zawsze,hateful
Poszła won - do TVN,hateful
"volksdojcz  był premierem polski , żenada",hateful
"Miejmy nadzieję, że Rosjanie wytłuką ich do nogi.",hateful
"Wszystkich prawicowych nieudaczników życiowych pozdrawiam!. Prezes da wam wszystko!  polska będzie potengom, buahahaha",hateful
"Sejm odcedzil szumowiny?Brawo .Niech nie wracaja ,chyba ,ze do szamba ,ktore uwielbiaja.",hateful
